team|opr|no_foul|ccwm|name
15469|103.478|98.049|99.046|DAVE - DOD STEM&Alconbury MHS
30630|85.265|83.317|49.992|Mr. Krabs - Alconbury Middle High School
33009|70.809|32.259|23.439|CMS Clankers
28435|44.886|21.514|-9.773|CMS Crabs - Cambridge Maths School
10939|43.307|40.538|4.001|UK024 Lakenheath HS RoboLancers  - Lakenheath High School
28309|32.783|17.736|-17.955|TAZAR - Trumpington Community College
21206|25.717|11.426|-9.169|Speedster - Trumpington Community College
27904|19.581|9.799|-11.672|CamCare - CamCare UK
21207|19.543|16.495|-16.474|Cipher - Trumpington Community College
26587|18.717|17.722|-16.0|Triple Six - Family/Community
25436|17.738|17.075|-18.916|Team Bob! - Comberton Village College
25151|13.569|9.628|-32.141|Robodeers - Hinchingbrooke School
28434|3.714|0.226|-70.986|Breakspear Nautilus - Nicholas Breakspear Catholic School
