team,opr,no_foul,ccwm,name
24565,26.556,10.853,10.589,OrionX - London Academy of Excellence Tottenham
32875,23.583,8.633,10.569,Tech_Through_West
34022,21.053,5.529,18.907,Excelsior Mini Robotics
25288,16.621,6.956,-2.994,TEA TEAM - The Petchey Academy
28321,15.716,13.037,2.443,Orion Alpha - London Academy of Excellence Tottenham
25430,13.176,6.522,6.697,Astro Bytes - Woolwich Polytechnic School for Girls
33016,10.976,10.322,-4.703,CacheCrew
32936,10.591,1.662,-0.807,Electro Evolve
32927,10.299,3.391,-7.183,Moore than Machines
22877,-7.106,2.599,-36.703,Excelsior Robotics - The Petchey Academy
