team|opr|no_foul|ccwm|name
33017|67.901|70.61|47.203|Itkan FITYA ( Pioneers ) - Fitya Innovation Hub &Fitya
27885|43.43|48.473|31.271|Peak Bots - Funny Wonders Inc CIC
25023|35.515|27.35|4.963|Robograngers - Outwood Grange Academy
32411|32.836|8.799|6.527|UTC Sheffield City Centre
20995|32.17|25.229|-6.434|Vision Robotics - Egglescliffe School
33682|25.974|22.457|-4.98|Kendal College
21126|19.236|1.673|-12.702|21126 - Holmfirth High School
24650|18.132|19.25|-3.096|Mercia Robotics - Mercia School
27880|17.595|13.42|-7.203|Queen Elizabeth's Grammar, Alford - Queen Elizabeth's Grammar, Alford
32407|17.17|6.171|-24.172|Funny Wonders Inc CIC - Funny Wonders Inc CIC & Funny Wonders Inc CIC
20993|11.738|9.898|-32.37|GroundX - Outwood Academy Newbold
