team,opr,no_foul,ccwm,name
28575,44.893,46.807,25.693,X_Factor - Robocode
20981,35.177,27.995,13.85,Quantum Mechanix - St John Fisher Catholic College
28582,33.88,7.747,21.106,Mech Mavericks - UTC Derby Pride Park
27897,32.913,19.472,24.463,CyberBytes - St John Fisher Catholic College
31119,24.689,16.462,4.221,Our Lady and St Chad Catholic Academy
24716,15.937,12.593,-11.623,Bishop Perowne C of E College - Bishop Perowne C of E College
33005,12.133,8.251,-11.616,Robolution
27907,8.428,5.103,-24.825,Team Girlie-bots - King Edward VI Camp Hill School for Girls
32408,8.392,3.188,-11.436,DTA
28310,8.26,1.821,-13.837,RoboTek - UTC Derby Pride Park
28312,8.082,5.8,-13.331,Team Wright Robinson - Wright Robinson College
