team,opr,no_foul,ccwm,name
27891,91.252,71.526,99.164,SPARKS - St Paul's School
32112,35.439,27.69,38.206,SuMthingS Wrong
28558,26.623,14.487,6.589,Gear Xtrema - Brighton College
28567,25.93,9.759,22.375,Team Euclid - Harrow School
33015,12.012,12.654,-29.356,Ibstock Robotics
27913,9.439,6.69,-12.628,Challenge Challoners - Dr Challoners High School
24696,9.186,8.336,-19.552,Reigate - Reigate Grammar School
24408,8.063,-0.231,-15.541,Gordon's Robotics - Gordon's School
19259,6.615,-1.069,-65.686,Gear Subzero - FIRST UK & Brighton College
28559,2.865,7.681,-28.686,Gear Shift - Brighton College
