22456|Scarlet Sparx - Bournemouth School for Girls
22457|ULTRAVIOLET - Bournemouth School for Girls
23877|Orange Bytes - Bournemouth School for Girls
24715|Pixel Perfect - Gillingham School
24739|Cyber Sisters - St Michaels Middle School
25011|Roborangers - Shaftesbury School
27892|Barton Peveril Robotics - Barton Peveril Sixth Form College
27896|Algoryphons - Eaton&Gryphon School
27900|STEMhenge - The Stonehenge School
27916|It's all Victoria's fault - Livingstone Academy Bournemouth
28536|Ferndown Upper School - Ferndown Upper School
28544|Ferndown Upper School - Ferndown Upper School
28573|Robotron - Poole Grammar School
32116|Mainframe Infection
32117|Toynbee
32984|Bourne Robotics
