20993|GroundX - Outwood Academy Newbold
20995|Vision Robotics - Egglescliffe School
21126|21126 - Holmfirth High School
24650|Mercia Robotics - Mercia School
25023|Robograngers - Outwood Grange Academy
27880|Queen Elizabeth's Grammar, Alford - Queen Elizabeth's Grammar, Alford
27885|Peak Bots - Funny Wonders Inc CIC
32407|Funny Wonders Inc CIC - Funny Wonders Inc CIC & Funny Wonders Inc CIC
32411|UTC Sheffield City Centre
33017|Itkan FITYA ( Pioneers ) - Fitya Innovation Hub &Fitya
33682|Kendal College
